,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,190.0,192.0,194.0,196.0,198.0,200.0,202.0,204.0,206.0,208.0,210.0,212.0,214.0,216.0,218.0,220.0,222.0,224.0,226.0,228.0,230.0,232.0,234.0,236.0,238.0,240.0,242.0,244.0,246.0,248.0,250.0,252.0,254.0,0.0,2.0,4.0,6.0,8.0
1,-95427.24137630957,-95429.87888215529,-95411.19282379065,-95453.50467604455,-95441.63589973879,-95450.37543182081,-95463.80883023844,-95429.16362633272,-95446.9779666636,-95434.34923104635,-95443.31228057294,-95450.286024843,-95419.3735622613,-95461.28308311499,-95433.38810603478,-95441.56884450541,-95437.54553050346,-95432.20346357864,-95454.66696675622,-95441.90412067225,-95459.91962670322,-95442.9770044061,-95431.33174554489,-95452.90117894426,-95443.4240392952,-95457.84091446888,-95467.07218492893,-95441.8817689278,-95463.27238837152,-95450.91187368774,-95454.28698710048,-95468.81562099644,-95443.60285325085,-95476.8846007448,-95453.16939987772,-95445.18982710718,-95450.19661786516,-95424.29094604147
2,-102510.3974354741,-102516.63357217713,-102494.93002831102,-102524.97077285896,-102514.2419355204,-102528.9046798831,-102531.43042700655,-102511.96205758597,-102535.72196194196,-102503.33428422622,-102519.40518848959,-102512.23027851943,-102489.3867956861,-102524.65784843659,-102515.96301984348,-102518.33230475574,-102514.0407698203,-102507.75992962837,-102535.20787181948,-102522.69089492451,-102548.41775279258,-102529.32936302775,-102510.196269774,-102523.40615074709,-102503.93778132652,-102530.33519152823,-102542.29337481182,-102527.76474091587,-102540.39347653312,-102521.08156932374,-102532.12333108466,-102544.21562483498,-102517.97467684445,-102554.98916566244,-102521.93093561304,-102521.01451409036,-102523.92024086956,-102507.35759822818
3,-91922.46549397297,-91937.06118310228,-92171.28511324944,-91793.04889357674,-92198.59894497383,-91932.76964816685,-91951.43335478703,-92178.79529938643,-91782.00713181582,-92188.07127333537,-91916.2964125033,-91936.45768600199,-92163.81963060137,-91780.62132365958,-92186.08196807886,-91922.08551431722,-91948.1029448632,-92182.68450292165,-91801.67666693649,-92203.73984619854,-91937.30705229129,-91967.34779683923,-92186.64076169024,-91792.75832089882,-92197.28019205097,-91934.91541563458,-91981.49645107942,-92200.54354674144,-91803.95654487092,-92214.80395970392,-91937.64232845811,-91977.49548882192,-92204.34334329884,-91808.78452167327,-92209.23837533455,-91928.0981335757,-91959.88231419114,-92177.67771216366
4,-101882.8498581469,-101882.60398895788,-101865.90723584978,-101910.70013173821,-101894.09278560792,-101904.53105026855,-101907.72734972565,-101880.92760812373,-101899.56896299946,-101883.00632035808,-101895.27742806404,-101895.76916644206,-101859.58169216893,-101898.60783798789,-101881.53110522403,-101895.25507631959,-101888.16957332726,-101879.65355868978,-101901.4018060448,-101890.78472742853,-101913.33763758393,-101901.1559368558,-101886.02380585956,-101905.58158225795,-101887.45431750469,-101907.03444564754,-101921.22780337666,-101897.91493390978,-101925.13935865634,-101902.8993729233,-101906.9003351808,-101919.88669870934,-101896.30560830899,-101931.7554750151,-101902.36293105638,-101896.23855307563,-101903.65933223479,-101881.5981604574
5,-99310.23112657442,-99314.32149580974,-99296.2389345454,-99328.6936674945,-99327.17374887154,-99328.2466326054,-99338.48373156592,-99316.86959467764,-99325.76558897085,-99316.35550455518,-99320.2894115793,-99321.16112961306,-99293.98140835541,-99324.11155988116,-99321.3399435687,-99316.71313246645,-99320.95996391296,-99311.86280391966,-99327.6431355051,-99327.10669363818,-99338.9978216884,-99329.20775761697,-99315.68495222152,-99322.09990288019,-99313.06979812024,-99323.3963040586,-99341.99295544541,-99323.95509766998,-99335.26508036436,-99325.58677501521,-99321.65286799108,-99337.65671702108,-99312.30983880877,-99338.72960075493,-99320.80350170178,-99305.60431547217,-99314.5897167432,-99295.56838221174
6,-103132.0441522651,-103110.45236712127,-103095.25318089167,-103152.49599844171,-103114.5427363566,-103156.02757406564,-103143.46589368176,-103122.20938470477,-103133.67582961034,-103106.60786707496,-103143.17532100384,-103140.35900120247,-103092.92859946832,-103156.38520197693,-103106.25023916367,-103146.9527658168,-103116.6885038243,-103112.32991365551,-103150.86432109647,-103113.78277704511,-103156.94399558831,-103130.09955049749,-103114.16275670085,-103152.71951588626,-103112.30756191106,-103152.8983298419,-103158.12863804444,-103116.21911719073,-103171.71849867326,-103122.83523354951,-103144.40466694889,-103148.40562920638,-103131.32889644253,-103180.12275458846,-103136.17922498933,-103141.05190528059,-103136.78272208963,-103111.14527119939
7,-88340.9560729213,-88344.86762820097,-88324.81811342455,-88337.8044769531,-88350.54497129262,-88353.62951202744,-88361.27380863116,-88346.52165729066,-88335.9045786744,-88352.37781433795,-88352.33311084904,-88343.75004097821,-88326.6509564699,-88342.38658456643,-88354.63534052794,-88343.41476481137,-88366.5041168337,-88353.78597423864,-88354.23300912774,-88362.92783772085,-88361.2067533978,-88361.18440165334,-88373.45550935931,-88338.4526775423,-88360.93853246434,-88362.95018946531,-88373.6566750594,-88352.55662829359,-88366.77233776716,-88364.58186681055,-88363.1066516765,-88387.38064615497,-88352.1542968934,-88372.85201225901,-88380.67512281837,-88341.76073572168,-88354.9035614614,-88331.9036164169
8,-95749.01708948816,-95761.26584544967,-95748.65946157688,-95778.78961310264,-95780.93538057034,-95773.04521477762,-95791.08307255305,-95761.33290068305,-95768.55251414211,-95766.11617399647,-95760.5505896271,-95771.72646185476,-95749.10649646599,-95774.94511305632,-95768.61956937547,-95762.852819306,-95766.74202284122,-95765.06564200707,-95778.02965379115,-95780.98008405925,-95780.77891835915,-95772.68758686633,-95760.97527277176,-95771.77116534367,-95773.73811885573,-95773.11227001098,-95789.87607835246,-95765.93736004083,-95777.87319157997,-95784.1540317719,-95775.52625841217,-95793.3629504875,-95768.39605193092,-95788.22204926277,-95777.6049706465,-95757.17547621435,-95769.31247345358,-95749.75469705519
9,-100307.70007463694,-100230.76537022178,-100324.70975216744,-100255.77697226727,-100299.98872279987,-100328.04016209127,-100259.0626787022,-100349.54254025729,-100263.84595201565,-100298.98289429938,-100316.64077241908,-100242.23181512736,-100332.9798976159,-100253.09476293264,-100298.13352801008,-100324.62034518961,-100243.52821630577,-100335.50564473936,-100272.20550444192,-100305.80017635826,-100340.93711864199,-100265.54468459425,-100347.10620011165,-100262.99658572635,-100301.10631002263,-100326.56494695724,-100263.15304793752,-100356.29276708279,-100274.32892016518,-100312.86332760613,-100338.50077849637,-100270.21619918541,-100356.71745022744,-100277.97225451139,-100320.14999629855,-100322.78750214429,-100249.78670475325,-100337.42789476251
10,-83238.25397947479,-83236.644653874,-83246.97115981235,-83244.06543303316,-83274.1061775811,-83249.2957412357,-83262.86325012008,-83262.41621523097,-83242.56786615466,-83261.58920068612,-83247.46289819037,-83249.899238336,-83249.27338949125,-83242.47845917684,-83269.34525601212,-83249.63101740254,-83249.09457553561,-83250.3462732251,-83259.66695066297,-83260.82924137465,-83264.07024432067,-83263.48909896483,-83263.51145070928,-83251.73208138134,-83273.9497153699,-83275.71550318188,-83273.21210780289,-83277.19071831593,-83266.26071527728,-83287.22665157636,-83281.12462534006,-83289.7076952109,-83295.02741039127,-83270.90987812399,-83302.51524478379,-83273.48032873635,-83270.26167753479,-83270.44049149043
11,-96957.44180171989,-96977.84894440758,-96954.91605459644,-96971.59045596009,-96975.94904612888,-96964.12497331202,-97002.1452906305,-96978.02775836323,-96987.39313929,-96989.15892710196,-96958.20176103136,-96987.9966363903,-96958.55938894265,-96974.31736878364,-96980.6429124645,-96976.15021182898,-96984.93444739991,-96962.42624073342,-96989.71772071335,-96985.0909096111,-96983.57099098814,-97003.86637495356,-96968.50591522527,-96977.84894440758,-96978.3406827856,-96966.22603729082,-96996.95968591687,-96971.16577281544,-96986.1861450894,-96983.68274971042,-96972.77509841623,-97004.98396217632,-96966.71777566883,-96989.78477594671,-96997.51847952825,-96961.12983955501,-96988.01898813475,-96951.56329292814
12,-91203.36517135683,-91232.24362519308,-91193.5751072854,-91231.30485192596,-91229.04732573597,-91205.64504929127,-91252.2931399695,-91209.08721793738,-91222.78883728849,-91222.72178205512,-91199.52067131051,-91234.90348278327,-91205.53329056899,-91242.25720670905,-91240.51377064154,-91218.6314128198,-91244.04534626548,-91193.75392124105,-91241.31843344193,-91220.59836633186,-91219.59253783138,-91244.55943638795,-91198.55954629893,-91232.17656995972,-91222.56531984394,-91210.16010167124,-91256.20469524917,-91206.65087779175,-91229.22613969161,-91226.25335767906,-91225.24752917857,-91267.82760236593,-91204.77333125751,-91236.57986361741,-91245.1852852327,-91206.13678766928,-91239.39618341878,-91201.64408703377
13,-99862.76624950962,-99894.90805803634,-99849.57872028097,-99885.16269745382,-99876.66903456081,-99865.64962454434,-99914.21996524572,-99872.1763339253,-99887.46492713272,-99875.66320606032,-99859.97228145269,-99904.2287354742,-99858.98880469667,-99898.14906098237,-99893.45519464674,-99870.3211391355,-99905.05575001905,-99855.83720872847,-99894.68454059178,-99883.3298544085,-99883.59807534196,-99918.77972111461,-99867.08013618948,-99899.08783424948,-99887.80020329956,-99872.53396183658,-99912.90121232286,-99863.39209835436,-99899.1772412273,-99894.17045046932,-99878.41247062832,-99918.64561064787,-99869.94115947976,-99902.23943021768,-99905.23456397469,-99867.75068852314,-99900.20542147224,-99838.5593102645
14,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
15,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
16,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
17,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.034875,0.034875,0.034875,0.034875,0.034875,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.038,0.038,0.038,0.038,0.038,0.046,0.046,0.046,0.046,0.046,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
18,0.9835,0.9835,0.9835,0.9835,0.9835,0.98775,0.98775,0.98775,0.98775,0.98775,0.990875,0.990875,0.990875,0.990875,0.990875,0.992,0.992,0.992,0.992,0.992,0.984,0.984,0.984,0.984,0.984,0.988,0.988,0.988,0.988,0.988,0.996,0.996,0.996,0.996,0.999,0.999,0.999,0.999
19,0.13075,0.13075,0.13075,0.13075,0.13075,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.1216875,0.1216875,0.1216875,0.1216875,0.1216875,0.106,0.106,0.106,0.106,0.106,0.108,0.108,0.108,0.108,0.108,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.1,0.1,0.1,0.1,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001
20,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
21,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22,24.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,15.5,0.0,0.0,0.0
24,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
25,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0
26,16.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1639901117.7110894,1639901117.711101,1639901117.7111096,1639901117.7111185,1639901117.7111273,1639901117.7111356,1639901117.7111442,1639901117.7111528,1639901117.7111616,1639901117.71117,1639901117.7111783,1639901117.711187,1639901117.7111957,1639901117.711204,1639901117.7112124,1639901117.711221,1639901117.7112296,1639901117.711238,1639901117.7112467,1639901117.7112553,1639901117.7112637,1639901117.711272,1639901117.7112803,1639901117.711289,1639901117.7112975,1639901117.711306,1639901117.711315,1639901117.7113235,1639901117.711332,1639901117.7113404,1639901117.7113516,1639901117.71136,1639901117.7113683,1639901117.711378,1639901117.7113864,1639901117.7113953,1639901117.7114036,1639901117.711412
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
