,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,96.0,98.0,100.0,102.0,104.0,106.0,108.0,110.0,112.0,114.0,116.0,118.0,120.0,122.0,124.0,126.0,128.0,130.0,132.0,134.0,136.0,138.0,140.0,142.0,144.0,146.0,148.0,150.0,152.0,154.0,156.0,158.0,160.0,162.0,164.0,166.0,168.0,170.0,172.0,174.0,176.0,178.0,180.0,182.0,184.0,186.0,188.0,190.0,192.0,194.0,196.0,198.0,200.0,202.0,204.0,206.0,208.0,210.0,212.0,214.0
1,-50125.977411982705,-50114.39920835486,-50128.54786259507,-50124.01045847064,-50116.0308857001,-50127.00559222765,-50112.58871705398,-50122.73640903669,-50117.595507811966,-50114.53331882159,-50126.91618524983,-50113.41573159883,-50123.675182303814,-50119.137778179385,-50114.667429288325,-50126.759723038645,-50112.700475776255,-50127.56438583903,-50126.64796431637,-50123.809292770544,-50135.074571976016,-50122.19996716976,-50129.01724922863,-50124.97158348222,-50118.221356656715,-50126.80442652755,-50110.86763273092,-50121.663525302836,-50123.02698171461,-50114.667429288325,-50127.40792362785,-50113.99687695466,-50122.33407763649,-50115.87442348891,-50113.86276648793,-50124.993935226674,-50113.43808334328,-50120.523586335614,-50119.07072294602,-50113.70630427675,-50125.03863871559,-50108.18542339628,-50119.562461324036,-50119.428350857306,-50114.01922869912,-50125.44097011578,-50112.38755135388,-50124.077513704004,-50119.92008923532,-50111.1805571533,-50127.184406183296,-50114.42156009931,-50120.6800485468,-50119.09307469047,-50114.935650221785,-50121.864691002935,-50109.615935041424,-50120.56828982452,-50121.238842158185,-50114.46626358823
2,-58533.94371675774,-58522.70078929672,-58535.06130398051,-58529.65218182233,-58524.15365268632,-58533.831958035466,-58520.95735322921,-58530.65801032281,-58525.315943397996,-58524.08659745295,-58533.67549582428,-58521.65025730732,-58530.52389985608,-58525.91944049829,-58522.6113823189,-58533.72019931319,-58521.449091607225,-58535.933022014266,-58533.78725454656,-58531.462673123206,-58541.3644959169,-58529.13809169985,-58536.000077247634,-58530.85917602291,-58525.807681776016,-58534.07782722448,-58520.08563519546,-58529.54042310005,-58530.34508590044,-58523.706617797216,-58534.34604815794,-58523.080768952466,-58530.568603345,-58522.20905091871,-58520.37620787337,-58530.88152776737,-58521.78436777406,-58528.95927774421,-58526.23236492067,-58522.6113823189,-58531.037989978555,-58515.99526596013,-58527.52876609907,-58525.85238526492,-58521.98553347416,-58531.797949290034,-58520.95735322921,-58531.57443184548,-58527.05937946551,-58519.19156541724,-58533.98842024666,-58522.656085807816,-58529.13809169985,-58527.03702772105,-58522.991361974644,-58530.34508590044,-58519.795062517536,-58529.853347522425,-58529.294553911044,-58523.63956256385
3,-54765.93133997099,-54754.84487472116,-54766.73600277138,-54762.55622655824,-54756.20833113293,-54766.53483707128,-54753.45906656493,-54762.422116091504,-54758.15293290054,-54754.24137762086,-54765.305491126244,-54754.59900553215,-54763.338537614174,-54759.65049977905,-54755.873054966105,-54767.16068591603,-54754.55430204324,-54768.099459183155,-54768.63590105008,-54765.66311903753,-54774.89438949757,-54762.26565388032,-54768.18886616098,-54764.254959136844,-54758.39880208955,-54766.24426439337,-54751.469761308406,-54759.73990675687,-54762.26565388032,-54754.84487472116,-54766.53483707128,-54753.72728749839,-54760.83514223518,-54754.64370902106,-54753.5261217983,-54764.120848670114,-54755.13544739908,-54760.902197468546,-54758.95759570094,-54753.771990987305,-54764.2773108813,-54750.15100838555,-54760.924549213,-54760.343403857165,-54754.80017123225,-54764.389069603574,-54753.637880520575,-54763.2267788919,-54759.784610245784,-54751.29094735276,-54766.44543009346,-54754.397839832054,-54759.76225850132,-54759.44933407895,-54754.91192995453,-54760.343403857165,-54750.3745258301,-54761.1257149131,-54761.84097073567,-54754.889578210066
4,-53510.52326089422,-53498.56507761063,-53512.19964172836,-53507.23755445929,-53500.17440321141,-53510.858537061045,-53496.5757723541,-53506.946981781366,-53501.02376950071,-53497.089862476576,-53510.05387426065,-53496.933400265385,-53507.66223760394,-53503.61657185752,-53500.66614158943,-53512.15493823945,-53498.609781099534,-53513.13841499548,-53510.567964383124,-53507.39401667047,-53517.25113597526,-53504.35417942455,-53511.64084811698,-53507.46107190384,-53502.454281145845,-53511.10440625005,-53496.06168223163,-53505.78469106969,-53506.45524340335,-53498.18509795488,-53509.78565332719,-53495.50288862025,-53503.77303406871,-53497.06751073212,-53495.65935083143,-53506.96933352582,-53497.06751073212,-53504.64475210247,-53502.52133637921,-53498.98976075528,-53509.78565332719,-53493.088900219074,-53504.89062129147,-53503.03542650169,-53498.878002033,-53509.47272890482,-53496.240496187274,-53507.48342364829,-53502.54368812367,-53494.38530139748,-53509.56213588264,-53497.1792694544,-53504.80121431366,-53503.28129569069,-53499.25798168874,-53506.34348468107,-53494.407653141934,-53506.05291200315,-53505.896449791966,-53498.78859505518
5,-55253.37818305233,-55241.97879338012,-55254.540473764006,-55248.81842718345,-55244.21396782565,-55254.965156908656,-55240.682392201714,-55251.455933029174,-55245.26449981505,-55242.31406954695,-55253.55699700797,-55240.548281734984,-55250.56186325096,-55245.97975563762,-55243.54341549199,-55255.367488308846,-55241.397648024285,-55255.143970864294,-55253.132313863316,-55250.36069755086,-55259.86018894437,-55246.85147367138,-55253.26642433005,-55247.611432982856,-55242.89521490279,-55251.679450473726,-55238.46956950064,-55248.237281827605,-55248.661964972256,-55241.71057244666,-55252.93114816322,-55239.74361893459,-55247.29850856048,-55240.36946777934,-55239.497749745584,-55250.42775278423,-55240.324764290424,-55247.544377749495,-55245.55507249297,-55242.448180013685,-55251.880616173825,-55237.262575300054,-55248.34904054988,-55246.80677018247,-55241.46470325765,-55252.05943012946,-55240.01183986806,-55251.54534000699,-55246.58325273792,-55238.804845667466,-55253.42288654124,-55240.905909646266,-55248.32668880543,-55245.55507249297,-55241.375296279824,-55248.61726148335,-55236.12263633283,-55248.393744038796,-55247.9914126386,-55241.97879338012
6,-52214.05502725304,-52202.9685620032,-52217.4748441547,-52211.3728179184,-52205.33784691547,-52214.725579586695,-52199.973428246194,-52210.76932081811,-52204.15320445934,-52201.51569861361,-52214.01032376413,-52200.4204631353,-52211.015190007114,-52206.61189634942,-52203.34854165895,-52214.65852435333,-52201.11336721342,-52215.709056342734,-52212.6245156079,-52210.29993418455,-52220.76055058963,-52207.81889055001,-52216.267849954114,-52211.14930047385,-52205.60606784893,-52214.83733830897,-52199.705207312734,-52209.6740853398,-52210.65756209583,-52202.320361414,-52213.831509808486,-52199.347579401445,-52208.89177428386,-52200.86749802441,-52199.48168986818,-52209.8752510399,-52199.25817242362,-52207.125986471896,-52204.13085271488,-52201.6721608248,-52213.22801270819,-52195.5701345885,-52207.125986471896,-52205.09197772646,-52201.49334686915,-52211.90925978533,-52198.69937881224,-52210.411692906826,-52205.44960563775,-52198.54291660106,-52213.65269585284,-52200.84514627995,-52209.22705045069,-52206.7236550717,-52202.65563758083,-52209.15999521733,-52197.29121891156,-52208.46709113921,-52207.528317872086,-52201.80627129153
7,-53098.401796627266,-53086.06363368793,-53099.67584606122,-53092.858564002345,-53088.00823545554,-53098.60296232736,-53083.87316273131,-53095.27255240352,-53088.49997383356,-53085.61659879883,-53096.25602915955,-53083.60494179785,-53093.99850296957,-53090.198706412164,-53088.58938081138,-53100.346398394875,-53086.3318546214,-53100.92754375071,-53097.15009893777,-53094.9819797256,-53104.392064141284,-53090.84690700137,-53100.055825716954,-53093.88674424729,-53088.947008722665,-53097.91005824925,-53083.917866220225,-53095.02668321451,-53093.95379948066,-53086.55537206595,-53098.08887220489,-53084.186087153685,-53093.68557854719,-53085.12486042081,-53082.91203771973,-53093.32795063591,-53083.716700520126,-53093.10443319136,-53090.17635466771,-53086.82359299941,-53096.09956694837,-53080.475697574104,-53092.724453535615,-53089.50580233405,-53084.901342976256,-53095.00433147005,-53083.850810986856,-53095.4290146147,-53089.46109884514,-53082.107374919346,-53098.35709313835,-53084.8789912318,-53091.98684596859,-53088.29880813346,-53084.32019762042,-53094.49024134759,-53082.26383713053,-53095.4290146147,-53092.67975004671,-53085.951874965656
8,-54740.22683384739,-54728.00042963034,-54742.439656548464,-54738.48339777988,-54732.247261076845,-54742.372601315095,-54727.44163601895,-54737.58932800166,-54732.62724073258,-54730.39206628705,-54742.35024957064,-54728.00042963034,-54737.81284544621,-54732.090798865655,-54726.34640054064,-54737.969307657404,-54725.318220295696,-54741.76910421481,-54740.96444141441,-54738.59515650215,-54749.703973496435,-54736.62820299008,-54743.847816449146,-54739.288060580264,-54731.15202559853,-54739.10924662462,-54724.17828132847,-54733.61071748862,-54733.78953144426,-54725.74290344035,-54738.528101268785,-54727.08400810767,-54737.09758962364,-54731.06261862071,-54728.670981963995,-54739.06454313571,-54727.37458078559,-54734.54949075574,-54732.49313026585,-54727.73220869687,-54735.935298911965,-54718.97032487039,-54730.45912152042,-54731.420246532,-54727.329877296674,-54738.461046035416,-54725.58644122916,-54736.87407217909,-54732.69429596595,-54724.37944702857,-54739.444522791455,-54726.74873194084,-54732.76135119932,-54731.06261862071,-54726.52521449629,-54732.582537243674,-54721.63018246057,-54732.448426776944,-54733.54366225525,-54727.061656363214
9,-54719.68558069296,-54715.48345273536,-54713.985885856855,-54723.39597027254,-54710.8119381442,-54719.48441499286,-54715.326990524176,-54710.54371721074,-54721.317258038194,-54709.090853821144,-54719.97615337088,-54717.696275436436,-54710.566068955195,-54719.84204290415,-54705.98396134186,-54716.377522513576,-54715.05876959071,-54713.7623684123,-54727.95572614142,-54720.154967326525,-54726.100531351636,-54723.284211550264,-54719.46206324841,-54724.53590923976,-54711.52719396677,-54716.377522513576,-54711.95187711142,-54705.42516773047,-54716.645743447036,-54709.44848173243,-54714.611734701604,-54716.93631612496,-54712.01893234479,-54718.456234747915,-54706.40864448651,-54714.87995563507,-54716.53398472476,-54710.3649032551,-54717.18218531396,-54709.247316032335,-54713.94118236795,-54710.05197883272,-54703.32410375168,-54716.28811553575,-54709.73905441035,-54715.416397502,-54714.79054865725,-54711.34838001113,-54720.914926638005,-54705.76044389731,-54715.192880057446,-54716.645743447036,-54707.61563868709,-54718.14331032555,-54706.94508635344,-54711.81776664469,-54709.3143712657,-54706.27453401977,-54718.76915917029,-54711.92952536697
10,-54285.92762779327,-54279.80324981252,-54280.31733993499,-54291.672026118285,-54276.294025933035,-54286.151145237825,-54278.77506956757,-54274.34942416542,-54285.14531673733,-54270.03553748555,-54284.49711614813,-54280.473802146174,-54274.57294160998,-54285.659406859806,-54269.0073572406,-54282.53016263607,-54277.545723622534,-54276.04815674403,-54290.97912204017,-54280.764374824095,-54290.71090110671,-54287.9169330498,-54284.40770917031,-54292.65550287432,-54275.84699104393,-54284.00537777012,-54278.50684863411,-54271.93543576425,-54284.89944754833,-54272.96361600919,-54280.272636446076,-54279.5126771346,-54275.06467998799,-54283.08895624745,-54268.98500549615,-54280.809078313,-54279.40091841232,-54272.91891252028,-54282.150182980324,-54272.449525886725,-54281.77020332459,-54275.77993581056,-54267.84506652893,-54282.2619417026,-54272.3601189089,-54281.45727890221,-54278.17157246728,-54274.684700332255,-54286.419366171285,-54269.78966829654,-54282.77603182507,-54282.35134868042,-54272.47187763118,-54285.368834181885,-54271.62251134188,-54279.49032539014,-54274.751755565616,-54270.79549679703,-54283.781860325566,-54274.260017187604
11,-56069.4850766045,-56063.53951257939,-56061.61726255623,-56070.937939994095,-56057.59394855428,-56068.52395159292,-56063.49480909047,-56059.91852997763,-56070.66971906063,-56056.78928575388,-56069.261559159946,-56064.67945154661,-56059.605605555254,-56069.23920741549,-56055.76110550894,-56068.546303337374,-56064.83591375779,-56063.13718117919,-56076.68233831911,-56066.467591103035,-56074.71538480704,-56070.11092544925,-56068.00986147045,-56075.92237900763,-56061.88548348969,-56070.647367316174,-56065.394707369174,-56059.65030904416,-56070.55796033835,-56060.49967533346,-56066.5346463364,-56065.01472771344,-56060.94671022257,-56067.54047483689,-56054.017669441426,-56063.76303002394,-56062.84660850127,-56058.26450088793,-56066.69110854759,-56057.795114254375,-56065.819390513825,-56060.56673056683,-56055.02349794192,-56067.495771347974,-56057.2810241319,-56066.71346029204,-56063.09247769028,-56061.17022766713,-56071.00499522746,-56054.06237293033,-56067.13814343669,-56066.95932948105,-56058.7338875215,-56069.730945793504,-56056.05167818686,-56065.841742258286,-56060.54437882238,-56058.1303904212,-56069.261559159946,-56059.270329388426
12,-50328.014830114225,-50326.31609753562,-50321.28695503318,-50332.9322138944,-50319.8787951325,-50328.12658883651,-50329.62415571501,-50320.37053351051,-50333.1780830834,-50319.498815476756,-50330.33941153758,-50328.41716151442,-50318.29182127617,-50332.216958071826,-50313.419140984915,-50323.18685331188,-50323.879757389994,-50319.05178058765,-50337.71548720783,-50330.85350166005,-50335.54736799567,-50337.111990107536,-50328.95360338135,-50338.67661221941,-50323.63388820099,-50324.885585890486,-50325.62319345751,-50314.55907995213,-50328.95360338135,-50319.85644338804,-50322.00221085575,-50327.2772225472,-50320.258774788235,-50333.64746971697,-50320.415236999426,-50325.24321380177,-50327.63485045849,-50317.06247533113,-50328.171292325416,-50322.33748702258,-50323.72329517881,-50323.745646923264,-50312.03333282869,-50327.4783882473,-50321.19754805536,-50327.97012662532,-50328.439513258876,-50320.81756839962,-50333.42395227242,-50316.9283648644,-50324.885585890486,-50329.847673159566,-50315.855481130544,-50330.16059758194,-50318.805911398646,-50321.7786934112,-50323.34331552307,-50313.1732717959,-50328.014830114225,-50320.549347466156
13,-49703.998828410964,-49701.24956384296,-49696.68980797408,-49707.709217990545,-49694.27581957291,-49702.72477897701,-49703.2835725884,-49695.86279342923,-49708.15625287966,-49695.751034706955,-49705.339933078285,-49702.99299991048,-49695.482813773495,-49706.90455519016,-49689.31373230383,-49699.23790684198,-49699.21555509753,-49694.476985273,-49712.11251164824,-49705.49639528947,-49711.50901454795,-49711.88899420369,-49704.80349121136,-49713.34185759328,-49699.036741141885,-49702.16598536563,-49700.28843883138,-49691.37009279372,-49703.48473828849,-49695.25929632894,-49697.650932985656,-49703.50709003295,-49697.427415541104,-49707.999790668466,-49695.70633121805,-49700.40019755366,-49702.85888944375,-49693.873488172714,-49702.99299991048,-49697.49447077447,-49699.64023824218,-49697.94150566358,-49690.856002671244,-49704.49056678898,-49697.06978762982,-49705.00465691146,-49703.68590398859,-49698.58970625278,-49708.87150870222,-49692.42062478312,-49701.24956384296,-49704.982305167,-49693.29234281687,-49706.47987204551,-49695.03577888439,-49698.74616846397,-49697.1815463521,-49690.47602301551,-49703.9317731776,-49696.55569750735
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1291015625,0.1291015625,0.1291015625,0.12955078125,0.12955078125,0.12955078125,0.12955078125,0.12955078125,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.134,0.134,0.134,0.134,0.134,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.124,0.124,0.124,0.124,0.124,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.132,0.132,0.132,0.132,0.132,0.14,0.14,0.14,0.14,0.14,0.14400000000000002
18,0.7329921875000001,0.7329921875000001,0.7329921875000001,0.72749609375,0.72749609375,0.72749609375,0.72749609375,0.72749609375,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.724,0.724,0.724,0.724,0.724,0.726,0.726,0.726,0.726,0.726,0.724,0.724,0.724,0.724,0.724,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.714,0.714,0.714,0.714,0.714,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.724,0.724,0.724,0.724,0.724,0.722
19,0.60624609375,0.60624609375,0.60624609375,0.605123046875,0.605123046875,0.605123046875,0.605123046875,0.605123046875,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.61,0.61,0.61,0.61,0.61,0.606,0.606,0.606,0.606,0.606,0.618,0.618,0.618,0.618,0.618,0.62,0.62,0.62,0.62,0.62,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.616,0.616,0.616,0.616,0.616,0.618,0.618,0.618,0.618,0.618,0.62,0.62,0.62,0.62,0.62,0.618
20,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
21,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
22,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,64.0
23,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
24,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,72.0
25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5
26,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,40.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1642497270.5299196,1642497270.5299456,1642497270.5299687,1642497270.5299916,1642497270.530014,1642497270.5300367,1642497270.530059,1642497270.5300815,1642497270.530104,1642497270.5301263,1642497270.5301552,1642497270.5301776,1642497270.5301995,1642497270.5302217,1642497270.5302465,1642497270.5302691,1642497270.5302913,1642497270.5303128,1642497270.530335,1642497270.530357,1642497270.5303788,1642497270.5304005,1642497270.5304224,1642497270.5304444,1642497270.5304663,1642497270.5304885,1642497270.5305102,1642497270.530532,1642497270.530554,1642497270.5305758,1642497270.5305977,1642497270.530622,1642497270.530644,1642497270.5306659,1642497270.5306888,1642497270.5307107,1642497270.5307324,1642497270.530754,1642497270.530776,1642497270.5307975,1642497270.5308197,1642497270.530844,1642497270.530866,1642497270.530888,1642497270.5309124,1642497270.530934,1642497270.530956,1642497270.5309775,1642497270.5309997,1642497270.531021,1642497270.5310433,1642497270.5310647,1642497270.5310867,1642497270.5311084,1642497270.5311303,1642497270.5311542,1642497270.531176,1642497270.5311975,1642497270.5312195,1642497270.5312412
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
